ID,Treatment,Cal_cum,LV_TAG,lipidosis_area_pct,Fat_mass,subq_wt,epi_wat,mesenteric_wt,plasma_TAG,liver_wt,TG_feces,TG_feces2,fecal_tot_output,wt,Lean_mass,Lean_mass_outlier,avgEE,avgEE2,leptin_new,glucose_plasma,insulin_plasma,CHL_feces2,uptake_freq_light,uptake_freq_dark,allmeters_light,allmeters_dark,pedmeters_light,pedmeters_dark,bw_cage
1,LFD,1425.87,367.77,17.596,11.152,0.4,1.8,0.33,38.547,1.58,23.4,23.4,0.75,38.4,21.978,21.978,0.488256279,0.488256279,2.284,155.97,0.139,136,6,17,55.092895,172.40065,43.68306,146.47245,35.1
2,LFD,1241.231,400.53,0.696,7.357,0.72,1.34,0.48,53.408,1.28,20.865,20.865,0.72,33.1,20.333,20.333,0.44324774,0.44324774,1.777,148.39,0.266,199.2,9,17,40.315825,227.3187,31.81791,195.65125,28.9
3,LFD,1298.18,379.47,17.311,10.517,0.89,2.08,0.94,68.087,1.38,20.28,20.28,0.66,35.7,19.183,19.183,0.552400454,0.552400454,3.579,130.86,0.832,132.4,5,18,33.69553,217.4988,25.83633,186.3535,32.2
4,LFD,1812.026,332.67,16.353,12.781,0.78,2.13,0.54,37.492,1.96,23.01,23.01,0.9,43,22.879,22.879,0.689006692,0.689006692,3.282,91.59,0.195,158.8,16,18,126.78045,168.3371,100.707535,136.4208,35.7
5,LFD,1373.638,408.33,5.164,6.385,0.26,0.97,0.32,46.053,1.38,19.695,19.695,0.89,32.2,21.055,21.055,0.473706956,0.473706956,0.75,118.92,0.242,144.4,10,19,44.151325,218.07965,36.85443,195.09785,30
6,LFD,1448.174,454.35,22.362,11.46,0.99,2.07,0.6,45.932,1.59,10.335,10.335,0.76,39.5,21.94,21.94,0.556338881,0.556338881,2.772,154.21,0.282,112,17,33,84.7099,149.5814,61.551045,115.49105,38.4
7,LFD,1306.69,423.93,7.684,9.373,0.55,1.29,0.47,44.938,1.44,10.92,10.92,0.82,34.3,19.727,19.727,0.432160985,0.432160985,2.143,155.44,0.534,126.4,10,22,43.62919,125.20115,28.595825,93.74024,32.1
8,LFD,1760.929,446.94,30.752,13.872,0.83,2.12,0.65,44.365,1.87,10.53,10.53,0.81,43.3,22.498,22.498,0.536909319,0.536909319,3.67,114.43,0.031,113.6,12,19,88.27915,172.1559,64.606815,138.02205,39.2
9,LFD,1535.76,494.91,5.385,11.954,0.89,1.96,0.47,50.996,1.57,12.285,12.285,0.93,40.5,21.976,21.976,0.542921988,0.542921988,2.718,204.09,0.059,86,12,21,70.554535,172.65615,56.358205,143.2025,39.1
10,LFD,1365.553,424.71,6.81,9.262,0.6,1.57,0.3,52.082,1.27,13.065,13.065,0.68,34.2,18.568,18.568,0.428594673,0.428594673,1.898,129.27,0.042,76.8,9,21,47.79459,217.8674,35.24376,184.78795,31.1
11,LFD,1356.688,426.27,3.079,9.296,0.78,1.63,0.44,41.23,1.38,35.49,35.49,0.67,36.6,20.604,20.604,0.513766473,0.513766473,2.898,142.58,0.619,145.2,7,12,53.54587,134.56555,39.357645,104.79659,34.3
