Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER,PedMeters,AllMeters
Cycle1:06:00-07:00,LFD,light,1,0.5404855,1.817773,1.667495,0.07543786,0.917328511,184.6116,229.6441
Cycle1:07:00-08:00,LFD,light,1,0.4461322,1.506156,1.356034,0.09581117,0.900327722,198.495,246.6812
Cycle1:08:00-09:00,LFD,light,1,0.3800183,1.302917,1.083944,0.06242484,0.83193634,198.938,247.2423
Cycle1:09:00-10:00,LFD,light,1,0.5073735,1.732713,1.471611,0.07426177,0.849310301,205.5662,254.9972
Cycle1:10:00-11:00,LFD,light,1,0.4239801,1.468392,1.156785,0.08923397,0.787790318,219.1643,271.8802
Cycle1:11:00-12:00,LFD,light,1,0.3796648,1.319942,1.017954,0.0723471,0.771211159,219.5274,272.3832
Cycle1:12:00-13:00,LFD,light,1,0.4635386,1.603752,1.270573,0.09256124,0.792250298,225.1335,279.6794
Cycle1:13:00-14:00,LFD,light,1,0.37745,1.315273,1.001215,0.07406832,0.761222195,227.0528,282.1154
Cycle1:14:00-15:00,LFD,light,1,0.4710062,1.614117,1.346176,0.07159519,0.834001501,228.5285,284.1717
Cycle1:15:00-16:00,LFD,light,1,0.4087729,1.401566,1.165741,0.06055778,0.83174178,232.17,289.091
Cycle1:16:00-17:00,LFD,light,1,0.3715183,1.291195,0.9976243,0.03288737,0.772636434,232.1806,289.1045
Cycle1:17:00-18:00,LFD,light,1,0.4813438,1.650779,1.371316,0.05156275,0.830708411,234.9715,292.413
Cycle1:18:00-19:00,LFD,dark,1,0.5353609,1.817953,1.589628,0.09043244,0.874405444,241.8203,300.3338
Cycle1:19:00-20:00,LFD,dark,1,0.5892181,1.984113,1.809144,0.1150404,0.911815002,260.199,322.3098
Cycle1:20:00-21:00,LFD,dark,1,0.6591882,2.196814,2.105628,0.1704257,0.958491707,290.7289,356.8911
Cycle1:21:00-22:00,LFD,dark,1,0.4444922,1.480904,1.421303,0.120285,0.959753637,304.8042,372.5134
Cycle1:22:00-23:00,LFD,dark,1,0.5963768,1.98279,1.921732,0.1542778,0.969206018,317.2498,386.2657
Cycle1:23:00-00:00,LFD,dark,1,0.5019255,1.672623,1.603634,0.1478178,0.958754005,334.131,405.2979
Cycle1:00:00-01:00,LFD,dark,1,0.5292172,1.759096,1.706771,0.1283047,0.970254608,336.3697,407.8735
Cycle1:01:00-02:00,LFD,dark,1,0.4987384,1.665931,1.579452,0.151159,0.948089687,348.8979,422.4125
Cycle1:02:00-03:00,LFD,dark,1,0.5281212,1.774943,1.63379,0.1397587,0.920474629,354.5849,429.0388
Cycle1:03:00-04:00,LFD,dark,1,0.4509317,1.53063,1.341154,0.1427102,0.876210449,363.2095,439.1085
