LV13	LV14	LV15	LV16	LV17	LV18	LV19	LV20	LV21	LV22	LV49	LV51	LV52	LV53	LV54	LV55	LV56	LV57	LV58
ENSMUSG00000000001	5.25381575021285	5.25097349641498	5.51875274134737	5.13882255745195	5.2915719600052	4.92693089180258	4.58362018902705	4.50814581782788	4.68806711145007	4.48517629111264	5.28387076156903	4.06603387192446	4.30955730113293	5.4227765585902	5.48412005125674	3.8721788095125	4.12672475930762	4.50167373927575	4.88449968341023
ENSMUSG00000000049	10.4923012095493	10.2881985898433	10.3778004809167	10.7582097840076	10.557022896559	10.3381053405139	10.2808853639964	10.4831305507145	11.033507251753	10.650240539339	10.4733767991267	10.6673070930656	10.4199624222153	10.9375075500942	10.6493831538794	10.8626263675618	10.515011729153	10.3784453533754	10.5633675968199
ENSMUSG00000000056	3.07900787345336	2.52041898235047	3.36514943071634	2.5893208996074	3.44787225974644	3.54613193772014	3.78164647306746	3.88386999070309	2.76181191943439	2.97353411194671	2.24430354266432	2.84662770610905	3.65102320448492	2.75441242556431	3.10816600353128	3.31066674247274	3.79107508998158	2.69985751313693	2.73339427968438
ENSMUSG00000000078	5.10165789857999	5.00477830107678	5.26605685255858	4.557445621586	4.20530361607485	5.20281373895934	3.69093361324931	3.95994152357645	4.6506073789686	4.32974637772709	3.897293330231	3.88832994542597	2.76164594851099	4.03856508492916	3.62962558868045	3.3756139083788	3.02234038246741	4.54572943142347	3.42166509027487
ENSMUSG00000000085	3.31260492912595	3.30123533573533	3.82491760612514	3.30937402809058	3.63449404308125	3.66306574886194	3.55351635607962	3.65127877536603	3.70700010435063	3.47538838082794	3.36985838528134	3.42984897572811	3.38061697888101	3.08361594216876	3.2213847607583	3.84185347589367	3.09478336219612	3.98229220208978	3.74697686087962
ENSMUSG00000000088	7.79378240856505	8.32979442887135	8.06875580701228	8.66898989723393	7.63317632689902	8.10503178265383	8.1857044265261	8.42741140339595	8.35415379333628	8.25910497252365	7.79769492566768	7.8518552372281	7.94017419663127	8.38139966106313	8.34920841228458	7.84733048278822	7.10086591112228	7.30744469832907	8.08569481639638
ENSMUSG00000000120	2.21135696692037	3.33107425362192	3.049345883664	2.84533252325292	3.0487750094806	3.15169891931808	2.12627800178336	2.47783588678334	2.95857267794613	2.63707694363177	2.36537833728108	2.26427311797762	2.40470325161466	1.37671675388144	2.05812522667579	2.74932918148851	1.81660090265421	2.69985751313693	3.08016577277679
ENSMUSG00000000127	3.71350581033774	2.92439152351366	3.53521155735809	3.49527065723864	3.8191001230935	3.17813874096058	3.97857989710256	3.76166836075969	3.21103548305271	3.43236665572201	3.24917513397405	3.50766807793496	2.49200283956345	2.86129119230841	2.89716134613434	3.64515596963716	3.4845343880021	3.32331499092196	3.62902260173453
ENSMUSG00000000131	4.34570598424543	4.19407196611711	4.47732058582304	4.6939721474433	4.60206573544971	4.74434782663633	4.52180128489699	4.67542554684432	4.32169269989557	4.8788132966247	3.53383629860302	4.40795232725443	4.44699345193164	4.36348499548262	4.66010884460618	4.02844982309796	4.22683063279998	3.89982860633698	3.97129925404374
ENSMUSG00000000134	2.92630587534301	3.57502729389717	2.76661396413483	3.65992495373855	3.14407714123257	4.12385770546331	3.03934979909135	3.45494965198758	3.89493517660702	3.69149032081637	3.39851524263911	3.87370904575246	3.40331500935274	2.99249453463141	3.54514648572966	3.84185347589367	3.63787199177538	3.53482435071968	3.66371925536728
