,entrez,symbol,gene.name,logFC,logCPM,F,PValue,FDR
ENSMUSG00000029656,110382,C8b,"complement component 8, beta polypeptide",1.82028753,6.939829627,52.82503278,9.21E-09,9.91E-05
ENSMUSG00000072849,20704,Serpina1e,"serine (or cysteine) peptidase inhibitor, clade A, member 1E",3.046450815,10.31631485,49.33948151,2.95E-08,0.000158776
ENSMUSG00000020122,13649,Egfr,epidermal growth factor receptor,1.716076602,6.696590351,43.4342556,8.33E-08,0.000270675
ENSMUSG00000064294,71724,Aox3,aldehyde oxidase 3,0.824873937,7.644129021,38.98488534,1.41E-07,0.000270675
ENSMUSG00000023031,109901,Cela1,"chymotrypsin-like elastase family, member 1",1.609427904,4.701388247,40.09306912,1.51E-07,0.000270675
ENSMUSG00000058207,20714,Serpina3k,"serine (or cysteine) peptidase inhibitor, clade A, member 3K",1.194483915,11.95114232,38.43819156,1.64E-07,0.000270675
ENSMUSG00000040584,18671,Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",-1.442777892,2.966584121,38.17937273,1.76E-07,0.000270675
ENSMUSG00000079507,15006,H2-Q1,"histocompatibility 2, Q region locus 1",-1.735768251,4.765227524,37.61560734,3.14E-07,0.000422431
ENSMUSG00000054263,16880,Lifr,LIF receptor alpha,1.240243656,6.462636211,36.46007319,3.62E-07,0.000433246
ENSMUSG00000017723,67701,Wfdc2,WAP four-disulfide core domain 2,-2.056098472,5.250317909,36.8393729,4.85E-07,0.000522268
ENSMUSG00000026249,20720,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2",1.474315505,4.009739138,34.42047606,5.86E-07,0.000544778
ENSMUSG00000022181,12274,C6,complement component 6,1.186748978,6.845725245,34.55403728,6.08E-07,0.000544778
ENSMUSG00000032080,11808,Apoa4,apolipoprotein A-IV,-2.680942602,9.944364677,35.94828456,6.94E-07,0.000548277
ENSMUSG00000058135,14862,Gstm1,"glutathione S-transferase, mu 1",-0.896762163,10.54511738,33.26430485,7.13E-07,0.000548277
ENSMUSG00000059908,17836,Mug1,murinoglobulin 1,0.834560287,10.60229484,32.68189642,8.47E-07,0.000607724
ENSMUSG00000038092,15496,Hsd3b5,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5",6.028367422,5.002646671,35.04841567,9.24E-07,0.000621397
ENSMUSG00000029161,68567,Cgref1,cell growth regulator with EF hand domain 1,-2.412619596,1.884621592,31.98844227,1.04E-06,0.000659232
ENSMUSG00000022871,59083,Fetub,fetuin beta,0.811318284,7.583667022,30.59705487,1.59E-06,0.000948006
ENSMUSG00000028655,76574,Mfsd2a,major facilitator superfamily domain containing 2A,-1.243026949,6.430266452,30.64011369,2.05E-06,0.001163615
ENSMUSG00000087141,433022,Plcxd2,"phosphatidylinositol-specific phospholipase C, X domain containing 2",0.870891669,5.660449074,28.46101854,3.07E-06,0.001653954
ENSMUSG00000067656,171405,Slc22a27,"solute carrier family 22, member 27",-1.839066734,2.944365726,27.72304159,4.40E-06,0.002184439
ENSMUSG00000060548,29820,Tnfrsf19,"tumor necrosis factor receptor superfamily, member 19",-1.318467398,3.204435576,27.28458598,4.47E-06,0.002184439
ENSMUSG00000023150,117198,Ivns1abp,influenza virus NS1A binding protein,-0.590556256,6.544560298,26.93306249,5.00E-06,0.002339162
ENSMUSG00000042207,75605,Kdm5b,lysine (K)-specific demethylase 5B,0.743570676,4.686287746,26.536569,5.68E-06,0.002547933
ENSMUSG00000021236,12499,Entpd5,ectonucleoside triphosphate diphosphohydrolase 5,-0.510107502,7.055047806,26.37756623,5.98E-06,0.002575462
ENSMUSG00000039519,13123,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",1.624415567,5.997984511,27.24481767,7.02E-06,0.002803443
ENSMUSG00000028555,230603,Ttc39a,tetratricopeptide repeat domain 39A,-3.232154491,1.30012917,26.02513477,7.03E-06,0.002803443
ENSMUSG00000066361,16625,Serpina3c,"serine (or cysteine) peptidase inhibitor, clade A, member 3C",1.462915956,6.097669648,26.65305518,8.05E-06,0.003094836
ENSMUSG00000021226,171210,Acot2,acyl-CoA thioesterase 2,-1.334783707,4.973836983,25.98777625,8.60E-06,0.003185526
