"","gene.id","entrez","symbol","gene.name","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000029656","ENSMUSG00000029656","110382","C8b","complement component 8, beta polypeptide",1.66002527096188,6.90058968599791,48.8986401651949,1.87925565360549e-08,0.000184167054053338
"ENSMUSG00000072849","ENSMUSG00000072849","20704","Serpina1e","serine (or cysteine) peptidase inhibitor, clade A, member 1E",3.30698029596759,10.1293372356578,46.2917844031595,6.34645262415227e-08,0.000273249661654668
"ENSMUSG00000057666","ENSMUSG00000057666","14433","Gapdh","glyceraldehyde-3-phosphate dehydrogenase",-0.935986992656216,7.67094341638345,40.0161855630626,8.36478556085718e-08,0.000273249661654668
"ENSMUSG00000023031","ENSMUSG00000023031","109901","Cela1","chymotrypsin-like elastase family, member 1",1.43533666630986,4.7088128422206,38.8463356853785,1.28055728909021e-07,0.000313736535827101
"ENSMUSG00000058207","ENSMUSG00000058207","20714","Serpina3k","serine (or cysteine) peptidase inhibitor, clade A, member 3K",0.982977723375769,11.9273900053899,37.2184481127644,1.84149615605773e-07,0.000360933246587316
"ENSMUSG00000020122","ENSMUSG00000020122","13649","Egfr","epidermal growth factor receptor",1.49316581874339,6.65351760645674,38.4773586401273,2.42583408438317e-07,0.000396219567115918
"ENSMUSG00000023057","ENSMUSG00000023057","14079","Fabp2","fatty acid binding protein 2, intestinal",-0.767288162726368,7.46290879938393,33.6236227510898,5.2903313296939e-07,0.000523278944703808
"ENSMUSG00000038092","ENSMUSG00000038092","15496","Hsd3b5","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5",5.7653151284986,4.88452857249214,37.2053129065069,5.44689659908026e-07,0.000523278944703808
"ENSMUSG00000032349","ENSMUSG00000032349","68801","Elovl5","ELOVL family member 5, elongation of long chain fatty acids (yeast)",-1.08401207654679,9.98876017549422,33.7733420511153,5.59454600735165e-07,0.000523278944703808
"ENSMUSG00000028655","ENSMUSG00000028655","76574","Mfsd2a","major facilitator superfamily domain containing 2A",-1.42153565160846,6.43484882125963,35.0909207713132,5.65692273942162e-07,0.000523278944703808
"ENSMUSG00000054263","ENSMUSG00000054263","16880","Lifr","LIF receptor alpha",1.00211838215454,6.4265660001382,33.2762975454588,5.87353917524682e-07,0.000523278944703808
"ENSMUSG00000058135","ENSMUSG00000058135","14862","Gstm1","glutathione S-transferase, mu 1",-1.09865738266573,10.6053663652041,33.0610974034444,7.01276657763756e-07,0.000572709270507067
"ENSMUSG00000067656","ENSMUSG00000067656","171405","Slc22a27","solute carrier family 22, member 27",-2.18320662841989,2.95867527702722,32.1581500759723,9.36475324213695e-07,0.000705958321330324
"ENSMUSG00000032080","ENSMUSG00000032080","11808","Apoa4","apolipoprotein A-IV",-2.87380468546965,10.026707545895,34.1178147360207,1.18565501115513e-06,0.000829958507808588
"ENSMUSG00000020102","ENSMUSG00000020102","20503","Slc16a7","solute carrier family 16 (monocarboxylic acid transporters), member 7",-0.994766003015122,5.68270122493283,30.6453659517546,1.31775700171246e-06,0.000860934574452138
"ENSMUSG00000017723","ENSMUSG00000017723","67701","Wfdc2","WAP four-disulfide core domain 2",-2.25708573736177,5.3754625356947,32.5099970245925,1.68240938162239e-06,0.00103047574624371
"ENSMUSG00000079507","ENSMUSG00000079507","15006","H2-Q1","histocompatibility 2, Q region locus 1",-2.0852348933181,4.79234607018741,31.5133852686355,2.00117904123586e-06,0.00113940613087078
"ENSMUSG00000045775","ENSMUSG00000045775","217316","Slc16a5","solute carrier family 16 (monocarboxylic acid transporters), member 5",-1.50123726858044,3.65152370982463,29.0753704119907,2.16437754637347e-06,0.00113940613087078
"ENSMUSG00000021236","ENSMUSG00000021236","12499","Entpd5","ectonucleoside triphosphate diphosphohydrolase 5",-0.731307377388267,7.08004958026438,29.0114576306859,2.20905270270865e-06,0.00113940613087078
"ENSMUSG00000040584","ENSMUSG00000040584","18671","Abcb1a","ATP-binding cassette, sub-family B (MDR/TAP), member 1A",-1.92152452940698,2.49983114125359,27.8151273917818,3.2492666250629e-06,0.00159214064628082
"ENSMUSG00000038615","ENSMUSG00000038615","18023","Nfe2l1","nuclear factor, erythroid derived 2,-like 1",-0.611611389645093,6.00016948699999,27.4228710129061,3.69282813349918e-06,0.00166364018334005
"ENSMUSG00000059908","ENSMUSG00000059908","17836","Mug1","murinoglobulin 1",0.631711861050942,10.5684852932918,27.3884134093452,3.73470245239602e-06,0.00166364018334005
"ENSMUSG00000036620","ENSMUSG00000036620","103534","Mgat4b","mannoside acetylglucosaminyltransferase 4, isoenzyme B",-0.848496474646325,5.16184896276378,27.2316957128455,3.93150356292398e-06,0.00167516238768065
"ENSMUSG00000036611","ENSMUSG00000036611","67484","Eepd1","endonuclease/exonuclease/phosphatase family domain containing 1",-0.929522931950932,4.73132105189311,27.000913658246,4.2412521340973e-06,0.00173184462142306
