id,treatment,glucose,timepoint
1,LFD,160,0
2,LFD,161,0
3,LFD,153,0
4,LFD,115,0
5,LFD,238,0
6,LFD,272,0
7,LFD,242,0
8,LFD,148,0
9,LFD,242,0
10,LFD,183,0
11,LFD,196,0
12,LFD,211,0
13,HFD,377,0
14,HFD,239,0
15,HFD,231,0
16,HFD,248,0
17,HFD,260,0
18,HFD,211,0
19,HFD,210,0
20,HFD,248,0
21,HFD,249,0
22,HFD,264,0
23,HFD,301,0
24,HFD,185,0
25,HFD+LXN,192,0
26,HFD+LXN,271,0
27,HFD+LXN,318,0
28,HFD+LXN,282,0
29,HFD+LXN,332,0
30,HFD+LXN,312,0
31,HFD+LXN,218,0
32,HFD+LXN,231,0
33,HFD+LXN,412,0
34,HFD+LXN,187,0
35,HFD+LXN,216,0
36,HFD+LXN,212,0
37,HFD+HXN,322,0
38,HFD+HXN,224,0
39,HFD+HXN,213,0
40,HFD+HXN,182,0
41,HFD+HXN,388,0
42,HFD+HXN,218,0
43,HFD+HXN,224,0
44,HFD+HXN,226,0
45,HFD+HXN,207,0
46,HFD+HXN,221,0
47,HFD+HXN,259,0
48,HFD+HXN,320,0
49,HFD+TXN,256,0
51,HFD+TXN,304,0
52,HFD+TXN,212,0
53,HFD+TXN,194,0
54,HFD+TXN,293,0
55,HFD+TXN,277,0
56,HFD+TXN,258,0
57,HFD+TXN,211,0
58,HFD+TXN,281,0
59,HFD+TXN,266,0
60,HFD+TXN,201,0
1,LFD,535,15
2,LFD,585,15
3,LFD,392,15
4,LFD,346,15
5,LFD,450,15
6,LFD,540,15
7,LFD,432,15
8,LFD,631,15
9,LFD,604,15
10,LFD,452,15
11,LFD,502,15
12,LFD,411,15
13,HFD,751,15
14,HFD,751,15
15,HFD,531,15
16,HFD,625,15
17,HFD,448,15
18,HFD,552,15
19,HFD,501,15
20,HFD,751,15
21,HFD,751,15
22,HFD,568,15
23,HFD,751,15
24,HFD,558,15
25,HFD+LXN,554,15
26,HFD+LXN,528,15
27,HFD+LXN,751,15
28,HFD+LXN,740,15
29,HFD+LXN,619,15
30,HFD+LXN,587,15
31,HFD+LXN,690,15
32,HFD+LXN,638,15
33,HFD+LXN,733,15
34,HFD+LXN,705,15
35,HFD+LXN,751,15
36,HFD+LXN,713,15
37,HFD+HXN,733,15
38,HFD+HXN,751,15
39,HFD+HXN,398,15
40,HFD+HXN,680,15
41,HFD+HXN,536,15
42,HFD+HXN,598,15
43,HFD+HXN,736,15
44,HFD+HXN,721,15
45,HFD+HXN,314,15
46,HFD+HXN,605,15
47,HFD+HXN,675,15
48,HFD+HXN,751,15
49,HFD+TXN,745,15
51,HFD+TXN,605,15
52,HFD+TXN,576,15
53,HFD+TXN,641,15
54,HFD+TXN,535,15
55,HFD+TXN,732,15
56,HFD+TXN,633,15
57,HFD+TXN,606,15
58,HFD+TXN,548,15
59,HFD+TXN,621,15
60,HFD+TXN,663,15
1,LFD,416,30
2,LFD,438,30
3,LFD,326,30
4,LFD,328,30
5,LFD,619,30
6,LFD,414,30
7,LFD,451,30
8,LFD,242,30
9,LFD,523,30
10,LFD,456,30
11,LFD,304,30
12,LFD,337,30
13,HFD,751,30
14,HFD,657,30
15,HFD,642,30
16,HFD,662,30
17,HFD,751,30
18,HFD,751,30
19,HFD,751,30
20,HFD,751,30
21,HFD,598,30
22,HFD,640,30
23,HFD,737,30
24,HFD,751,30
25,HFD+LXN,532,30
26,HFD+LXN,656,30
27,HFD+LXN,751,30
28,HFD+LXN,751,30
29,HFD+LXN,561,30
30,HFD+LXN,696,30
31,HFD+LXN,607,30
32,HFD+LXN,634,30
33,HFD+LXN,751,30
34,HFD+LXN,578,30
35,HFD+LXN,751,30
36,HFD+LXN,620,30
37,HFD+HXN,751,30
38,HFD+HXN,751,30
39,HFD+HXN,602,30
40,HFD+HXN,751,30
41,HFD+HXN,680,30
42,HFD+HXN,751,30
43,HFD+HXN,589,30
44,HFD+HXN,693,30
45,HFD+HXN,480,30
46,HFD+HXN,516,30
47,HFD+HXN,751,30
48,HFD+HXN,751,30
49,HFD+TXN,751,30
51,HFD+TXN,566,30
52,HFD+TXN,566,30
53,HFD+TXN,611,30
54,HFD+TXN,627,30
55,HFD+TXN,650,30
56,HFD+TXN,631,30
57,HFD+TXN,321,30
58,HFD+TXN,751,30
59,HFD+TXN,744,30
60,HFD+TXN,600,30
1,LFD,282,60
2,LFD,418,60
3,LFD,330,60
4,LFD,195,60
5,LFD,281,60
6,LFD,501,60
7,LFD,354,60
8,LFD,209,60
9,LFD,342,60
10,LFD,258,60
11,LFD,245,60
12,LFD,232,60
13,HFD,751,60
14,HFD,637,60
15,HFD,511,60
16,HFD,497,60
17,HFD,751,60
18,HFD,551,60
19,HFD,751,60
20,HFD,715,60
21,HFD,473,60
22,HFD,618,60
23,HFD,694,60
24,HFD,751,60
25,HFD+LXN,472,60
26,HFD+LXN,751,60
27,HFD+LXN,739,60
28,HFD+LXN,751,60
29,HFD+LXN,544,60
30,HFD+LXN,607,60
31,HFD+LXN,589,60
32,HFD+LXN,628,60
33,HFD+LXN,712,60
34,HFD+LXN,502,60
35,HFD+LXN,751,60
36,HFD+LXN,681,60
37,HFD+HXN,615,60
38,HFD+HXN,583,60
39,HFD+HXN,514,60
40,HFD+HXN,396,60
41,HFD+HXN,633,60
42,HFD+HXN,670,60
43,HFD+HXN,530,60
44,HFD+HXN,456,60
45,HFD+HXN,500,60
46,HFD+HXN,600,60
47,HFD+HXN,598,60
48,HFD+HXN,509,60
49,HFD+TXN,651,60
51,HFD+TXN,532,60
52,HFD+TXN,464,60
53,HFD+TXN,541,60
54,HFD+TXN,534,60
55,HFD+TXN,550,60
56,HFD+TXN,458,60
57,HFD+TXN,220,60
58,HFD+TXN,594,60
59,HFD+TXN,751,60
60,HFD+TXN,573,60
1,LFD,228,120
2,LFD,269,120
3,LFD,214,120
4,LFD,291,120
5,LFD,288,120
6,LFD,199,120
7,LFD,266,120
8,LFD,165,120
9,LFD,236,120
10,LFD,194,120
11,LFD,225,120
12,LFD,211,120
13,HFD,751,120
14,HFD,482,120
15,HFD,493,120
16,HFD,468,120
17,HFD,444,120
18,HFD,474,120
19,HFD,431,120
20,HFD,637,120
21,HFD,470,120
22,HFD,460,120
23,HFD,483,120
24,HFD,455,120
25,HFD+LXN,365,120
26,HFD+LXN,634,120
27,HFD+LXN,583,120
28,HFD+LXN,654,120
29,HFD+LXN,519,120
30,HFD+LXN,411,120
31,HFD+LXN,415,120
32,HFD+LXN,581,120
33,HFD+LXN,475,120
34,HFD+LXN,372,120
35,HFD+LXN,581,120
36,HFD+LXN,624,120
37,HFD+HXN,619,120
38,HFD+HXN,408,120
39,HFD+HXN,313,120
40,HFD+HXN,448,120
41,HFD+HXN,447,120
42,HFD+HXN,520,120
43,HFD+HXN,516,120
44,HFD+HXN,268,120
45,HFD+HXN,397,120
46,HFD+HXN,417,120
47,HFD+HXN,336,120
48,HFD+HXN,475,120
49,HFD+TXN,380,120
51,HFD+TXN,339,120
52,HFD+TXN,326,120
53,HFD+TXN,400,120
54,HFD+TXN,377,120
55,HFD+TXN,303,120
56,HFD+TXN,385,120
57,HFD+TXN,149,120
58,HFD+TXN,477,120
59,HFD+TXN,474,120
60,HFD+TXN,371,120
