Time,Diet,Cycle,MouseID,EE,EE_30,VO2,VCO2,RQ,VH2O,updateN,uptakeSum,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
Cycle1:06:00-07:00,LFD,light,1,0.5404855,0.2975505,0.9965797,0.9152997,0.9167686,0.04020009,3,0.2079903,27.02899,22.84515,0.01516648,58.5508,25.79123,20.48862,0.205
Cycle1:07:00-08:00,LFD,light,1,0.4461322,0.2490771,0.8381263,0.7600297,0.8984534,0.05141251,0,0.02651143,5.393051,4.129883,0.01031982,14.80556,80.66666,79.86111,0.7984722
Cycle1:08:00-09:00,LFD,light,1,0.3800183,0.2125851,0.7174721,0.599767,0.8366441,0.03318607,0,0,0,0,0,0,100,100,1.000278
Cycle1:09:00-10:00,LFD,light,1,0.5073735,0.2677054,0.9626774,0.8178942,0.8478978,0.03901326,3,0.02800667,20.58208,17.29837,0.01184387,51.66667,42.36111,33.33333,0.3331944
Cycle1:10:00-11:00,LFD,light,1,0.4239801,0.2289626,0.8246741,0.6437418,0.7772089,0.04752724,0,0,4.496124,3.246231,0.008165558,13.71841,86.28159,82.94918,0.8295833
Cycle1:11:00-12:00,LFD,light,1,0.3796648,0.1966247,0.7262521,0.5599968,0.7700908,0.03743612,0,0,0.07000732,0.05000305,0.003620625,0.444321,99.55568,99.55568,0.9955556
Cycle1:12:00-13:00,LFD,light,1,0.4635386,0.2188314,0.8871763,0.7084067,0.7902181,0.04851316,1,0.02016068,9.721191,7.516495,0.01124109,27.51249,66.65741,63.65908,0.6366667
Cycle1:13:00-14:00,LFD,light,1,0.37745,0.2163935,0.728332,0.5572931,0.7654044,0.03987584,0,0,0.02252197,0.02249146,0.001628399,0.4444445,99.55556,99.55556,0.9952778
Cycle1:14:00-15:00,LFD,light,1,0.4710062,0.2180226,0.8847675,0.7407253,0.8268763,0.03869007,4,0.08344829,6.131287,4.40834,0.009550812,19.26707,62.35425,61.5769,0.6159722
Cycle1:15:00-16:00,LFD,light,1,0.4087729,0.2441427,0.7833135,0.6549562,0.830007,0.03194854,0,0.01147842,0.8390503,0.7006836,0.01659287,1.444444,94.66667,94.66667,0.9465278
Cycle1:16:00-17:00,LFD,light,1,0.3715183,0.2096284,0.7128372,0.5512011,0.7727647,0.0179927,0,0,0,0,0,0,100,100,1
Cycle1:17:00-18:00,LFD,light,1,0.4813438,0.2412918,0.9125525,0.7630137,0.8309049,0.02655315,2,0.04608464,4.721466,4.012787,0.01487284,9.414051,81.11635,81.08858,0.8108333
Cycle1:18:00-19:00,LFD,dark,1,0.5353609,0.2569433,0.997907,0.8706228,0.8599136,0.04792317,2,0.1564149,16.00107,13.58835,0.01789539,33.23154,41.2271,38.56191,0.3856944
