id,treatment,AUC_tot,AUC_tot_sqrt,gluc0,gluc15,gluc30,gluc60,gluc120
1,LFD,10863.75,104.23,160,535,416,282,228
2,LFD,15288.75,123.65,161,585,438,418,269
3,LFD,9532.5,97.63,153,392,326,330,214
4,LFD,9435,97.13,115,346,328,195,291
5,LFD,8388.75,91.59,238,450,619,281,288
6,LFD,8670,93.11,272,540,414,501,199
7,LFD,7368.75,85.84,242,432,451,354,266
8,LFD,8118.75,90.1,148,631,242,209,165
9,LFD,9393.75,96.92,242,604,523,342,236
10,LFD,7950,89.16,183,452,456,258,194
11,LFD,6195,78.71,196,502,304,245,225
12,LFD,4140,64.34,211,411,337,232,211
13,HFD,22440,149.8,377,751,751,751,751
14,HFD,23062.5,151.86,239,751,657,637,482
15,HFD,18228.75,135.01,231,531,642,511,493
16,HFD,17801.25,133.42,248,625,662,497,468
17,HFD,21446.25,146.45,260,448,751,751,444
18,HFD,21506.25,146.65,211,552,751,551,474
19,HFD,24847.5,157.63,210,501,751,751,431
20,HFD,27660,166.31,248,751,751,715,637
21,HFD,17928.75,133.9,249,751,598,473,470
22,HFD,18555,136.22,264,568,640,618,460
23,HFD,21540,146.77,301,751,737,694,483
24,HFD,27348.75,165.37,185,558,751,751,455
25,HFD+LXN,16792.5,129.59,192,554,532,472,365
26,HFD+LXN,23467.5,153.19,271,528,656,751,634
27,HFD+LXN,23190,152.28,318,751,751,739,583
28,HFD+LXN,26561.25,162.98,282,740,751,751,654
29,HFD+LXN,13380,115.67,332,619,561,544,519
30,HFD+LXN,15536.25,124.64,312,587,696,607,411
31,HFD+LXN,20988.75,144.87,218,690,607,589,415
32,HFD+LXN,23295,152.63,231,638,634,628,581
33,HFD+LXN,15120,122.96,412,733,751,712,475
34,HFD+LXN,20088.75,141.73,187,705,578,502,372
35,HFD+LXN,29550,171.9,216,751,751,751,581
36,HFD+LXN,26958.75,164.19,212,713,620,681,624
37,HFD+HXN,20497.5,143.17,322,733,751,615,619
38,HFD+HXN,22695,150.65,224,751,751,583,408
39,HFD+HXN,14730,121.37,213,398,602,514,313
40,HFD+HXN,20808.75,144.25,182,680,751,396,448
41,HFD+HXN,11347.5,106.52,388,536,680,633,447
42,HFD+HXN,24971.25,158.02,218,598,751,670,520
43,HFD+HXN,21131.25,145.37,224,736,589,530,516
44,HFD+HXN,16627.5,128.95,226,721,693,456,268
45,HFD+HXN,13717.5,117.12,207,314,480,500,397
46,HFD+HXN,19106.25,138.23,221,605,516,600,417
47,HFD+HXN,18997.5,137.83,259,675,751,598,336
48,HFD+HXN,16275,127.57,320,751,751,509,475
49,HFD+TXN,21817.5,147.71,256,745,751,651,380
51,HFD+TXN,11988.75,109.49,304,605,566,532,339
52,HFD+TXN,15457.5,124.33,212,576,566,464,326
53,HFD+TXN,20617.5,143.59,194,641,611,541,400
54,HFD+TXN,13162.5,114.73,293,535,627,534,377
55,HFD+TXN,15847.5,125.89,277,732,650,550,303
56,HFD+TXN,14820,121.74,258,633,631,458,385
57,HFD+TXN,5751.41,75.84,211,606,321,220,149
58,HFD+TXN,18273.75,135.18,281,548,751,594,477
59,HFD+TXN,23403.75,152.98,266,621,744,751,474
60,HFD+TXN,20606.25,143.55,201,663,600,573,371
