ID,Treatment,food_cum,Cal_cum,BMD,BMC,Bone_Area,Fat_percent   ,TTM,TAM,Fat_mass,Lean_mass,wt,wt_gained,liver_wt,lv_pct,bat_wt,subq_wt,epi_wat,mesenteric_wt,epiWatpct,epi2wt,fecal_fat,fecal_tot_output,CHL_plasma_baseline,CHL_plasma_mid,CHL_plasma_end,glucose_plasma,insulin_plasma,wt_gain_pct,TG_feces2,total_CHL,LDL,HDL,total_TAG,CHL_feces2,HOMA,leptin,leptin_new,LV_TC,LV_TAG,TG_feces,CHL_feces,ketone,lipidosis_area_pct
1,LFD,402.11,1425.87,0.06,0.502,8.39,33.66,33.13,33.632,11.152,21.978,38.4,42.22,1.58,4.114583333,0.24,0.4,1.8,0.33,16.14,4.69,23.4,0.75,142.59,156.06,160.38,155.97,0.139,42.22,93.5,160.38,62.997,101.451,38.547,136,0.12,14.894,2.284,15.795,367.77,23.4,26.52,0.412,17.596
2,LFD,350.04,1241.231,0.059,0.528,8.91,26.57,27.69,28.218,7.357,20.333,33.1,18.21,1.28,3.867069486,0.17,0.72,1.34,0.48,18.21,4.05,20.865,0.72,152.55,136.22,121.09,148.39,0.266,18.21,107,121.09,51.495,90.141,53.408,199.2,0.219,11.809,1.777,17.258,400.53,20.865,38.844,0.497,0.696
3,LFD,366.1,1298.18,0.059,0.536,9.04,35.41,29.7,30.236,10.517,19.183,35.7,54.55,1.38,3.865546218,0.22,0.89,2.08,0.94,19.78,5.83,20.28,0.66,128.78,119.05,139.352,130.86,0.832,54.55,104,139.35,57.493,136.254,68.087,132.4,0.605,21.243,3.579,17.453,379.47,20.28,25.818,0.368,17.311
4,LFD,511.01,1812.026,0.057,0.521,9.18,35.84,35.66,36.181,12.781,22.879,43,66.02,1.96,4.558139535,0.3,0.78,2.13,0.54,16.67,4.95,23.01,0.9,70.26,34.31,59.454,91.59,0.195,66.02,118,59.45,30.692,35.976,37.492,158.8,0.099,20.947,3.282,17.843,332.67,23.01,30.966,0.465,16.353
5,LFD,387.38,1373.638,0.052,0.444,8.46,23.27,27.44,27.884,6.385,21.055,32.2,25.29,1.38,4.285714286,0.2,0.26,0.97,0.32,15.19,3.01,19.695,0.89,101.23,142.68,137.464,118.92,0.242,25.29,101.333,137.46,59.199,114.021,46.053,144.4,0.16,4.786,0.75,18.964,408.33,19.695,28.158,0.687,5.164
6,LFD,408.4,1448.174,0.056,0.497,8.86,34.31,33.4,33.897,11.46,21.94,39.5,50.19,1.59,4.025316456,0.34,0.99,2.07,0.6,18.06,5.24,10.335,0.76,136.05,149.37,158.229,154.21,0.282,50.19,53,158.23,78.296,116.82,45.932,112,0.242,16.414,2.772,12.821,454.35,10.335,21.84,0.707,22.362
7,LFD,368.5,1306.69,0.049,0.38,7.72,32.21,29.1,29.48,9.373,19.727,34.3,33.98,1.44,4.198250729,0.19,0.55,1.29,0.47,13.76,3.76,10.92,0.82,124.27,160.97,152.263,155.44,0.534,33.98,56,152.26,70.591,128.88,44.938,126.4,0.461,16.956,2.143,18.086,423.93,10.92,24.648,0.44,7.684
8,LFD,496.6,1760.929,0.057,0.581,10.22,38.14,36.37,36.951,13.872,22.498,43.3,66.54,1.87,4.318706697,0.38,0.83,2.12,0.65,15.28,4.9,10.53,0.81,62.05,54.01,81.261,114.43,0.031,66.54,54,81.26,34.435,55.305,44.365,113.6,0.02,23.931,3.67,16.624,446.94,10.53,22.152,0.829,30.752
9,LFD,433.1,1535.76,0.063,0.577,9.17,35.23,33.93,34.507,11.954,21.976,40.5,54.58,1.57,3.87654321,0.28,0.89,1.96,0.47,16.4,4.84,12.285,0.93,112.57,166.4,146.827,204.09,0.059,54.58,63.333,146.83,59.254,120.591,50.996,86,0.067,18.92,2.718,13.406,494.91,12.285,16.77,0.772,5.385
10,LFD,385.1,1365.553,0.056,0.504,8.96,33.28,27.83,28.334,9.262,18.568,34.2,44.3,1.27,3.713450292,0.2,0.6,1.57,0.3,16.95,4.59,13.065,0.68,144.77,138.52,114,129.27,0.042,44.3,66.667,114,47.477,86.235,52.082,76.8,0.03,11.592,1.898,13.504,424.71,13.065,14.976,NA,6.81
