ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
1,LFD,27,0,26.11,92.6,2/4/19,0
2,LFD,28,0,26.04,92.3,2/4/19,0
3,LFD,23.1,0,21.5,76.2,2/4/19,0
4,LFD,25.9,0,26.61,94.4,2/4/19,0
5,LFD,25.7,0,22.68,80.4,2/4/19,0
6,LFD,26.3,0,18.8,66.7,2/4/19,0
7,LFD,25.6,0,24.1,85.5,2/4/19,0
8,LFD,26,0,28.8,102.1,2/4/19,0
9,LFD,26.2,0,22.7,80.5,2/4/19,0
10,LFD,23.7,0,22.6,80.1,2/4/19,0
11,LFD,25.7,0,27,95.7,2/4/19,0
12,LFD,25.9,0,25.3,89.7,2/4/19,0
13,HFD,24.3,0,21.8,111.7,2/4/19,0
14,HFD,23.8,0,26.41,135.3,2/4/19,0
15,HFD,25.4,0,24.46,125.3,2/4/19,0
16,HFD,27.5,0,24.73,126.7,2/4/19,0
17,HFD,24.5,0,20.16,103.3,2/4/19,0
18,HFD,25.4,0,25.88,132.6,2/4/19,0
19,HFD,26.1,0,27.9,142.9,2/4/19,0
20,HFD,26.2,0,26.9,137.8,2/4/19,0
21,HFD,26,0,24.2,124,2/4/19,0
22,HFD,25.6,0,23.4,119.9,2/4/19,0
23,HFD,24.2,0,27.1,138.8,2/4/19,0
24,HFD,25.5,0,23.6,120.9,2/4/19,0
25,HFD+LXN,27.4,0,20.91,107.1,2/4/19,0
26,HFD+LXN,26.1,0,16.41,84.1,2/4/19,0
27,HFD+LXN,25.8,0,25.78,132,2/4/19,0
28,HFD+LXN,26.1,0,26.22,134.3,2/4/19,0
29,HFD+LXN,26.1,0,24.76,126.8,2/4/19,0
30,HFD+LXN,25.4,0,24.27,124.3,2/4/19,0
31,HFD+LXN,27.2,0,30.1,154.2,2/4/19,0
32,HFD+LXN,25.2,0,25.9,132.7,2/4/19,0
33,HFD+LXN,29,0,27.2,139.3,2/4/19,0
34,HFD+LXN,26.5,0,22.2,113.7,2/4/19,0
35,HFD+LXN,25.4,0,22.9,117.3,2/4/19,0
36,HFD+LXN,23.6,0,23,117.8,2/4/19,0
37,HFD+HXN,27.8,0,24.54,125.7,2/4/19,0
38,HFD+HXN,23.8,0,21.25,108.8,2/4/19,0
39,HFD+HXN,24.8,0,21.38,109.5,2/4/19,0
40,HFD+HXN,25.1,0,19.3,98.9,2/4/19,0
41,HFD+HXN,25.1,0,20.12,103.1,2/4/19,0
42,HFD+HXN,26.8,0,22.72,116.4,2/4/19,0
43,HFD+HXN,25.1,0,23.9,122.4,2/4/19,0
44,HFD+HXN,24.7,0,24.6,126,2/4/19,0
45,HFD+HXN,25.4,0,26.6,136.2,2/4/19,0
46,HFD+HXN,23.7,0,22.3,114.2,2/4/19,0
47,HFD+HXN,27.3,0,23.2,118.8,2/4/19,0
48,HFD+HXN,23.7,0,23.2,118.8,2/4/19,0
49,HFD+TXN,26,0,20.36,104.3,2/4/19,0
51,HFD+TXN,25,0,24.04,123.1,2/4/19,0
52,HFD+TXN,24.5,0,24.43,125.1,2/4/19,0
53,HFD+TXN,26.5,0,25.61,131.2,2/4/19,0
54,HFD+TXN,21.9,0,24.38,124.9,2/4/19,0
55,HFD+TXN,23.9,0,23.4,119.9,2/4/19,0
56,HFD+TXN,27.5,0,25.5,130.6,2/4/19,0
57,HFD+TXN,26.8,0,26.9,137.8,2/4/19,0
58,HFD+TXN,25.1,0,23.3,119.3,2/4/19,0
59,HFD+TXN,26.1,0,26.5,135.7,2/4/19,0
60,HFD+TXN,26.1,0,23.8,121.9,2/4/19,0
1,LFD,28.3,4.81,25.4,90.1,2/12/19,1
2,LFD,28,0,20,70.9,2/12/19,1
3,LFD,23.8,3.03,25.2,89.4,2/12/19,1
4,LFD,28.1,8.49,31.4,111.3,2/12/19,1
5,LFD,25.4,-1.17,23.9,84.7,2/12/19,1
6,LFD,26.5,0.76,19.8,70.2,2/12/19,1
7,LFD,26.2,2.34,20.3,72,2/12/19,1
8,LFD,27.2,4.62,28.8,102.1,2/12/19,1
9,LFD,26.8,2.29,20.4,72.3,2/12/19,1
10,LFD,24.3,2.53,20.6,73,2/12/19,1
11,LFD,26.1,1.56,18.9,67,2/12/19,1
12,LFD,27.7,6.95,22,78,2/12/19,1
13,HFD,25.7,5.76,16.3,83.5,2/12/19,1
14,HFD,28.2,18.49,25.4,130.1,2/12/19,1
15,HFD,27.4,7.87,17,87.1,2/12/19,1
16,HFD,29.1,5.82,19.3,98.9,2/12/19,1
17,HFD,28.1,14.69,18.7,95.8,2/12/19,1
18,HFD,27.2,7.09,15.6,79.9,2/12/19,1
19,HFD,26.7,2.3,16.5,84.5,2/12/19,1
20,HFD,28.7,9.54,14.7,75.3,2/12/19,1
21,HFD,29.2,12.31,19.5,99.9,2/12/19,1
22,HFD,27.4,7.03,18,92.2,2/12/19,1
23,HFD,24.6,1.65,17.1,87.6,2/12/19,1
24,HFD,27.4,7.45,17.1,87.6,2/12/19,1
25,HFD+LXN,27.3,-0.36,15.6,79.9,2/12/19,1
26,HFD+LXN,28.7,9.96,19,97.3,2/12/19,1
27,HFD+LXN,27.4,6.2,18,92.2,2/12/19,1
28,HFD+LXN,29.2,11.88,18.4,94.2,2/12/19,1
29,HFD+LXN,29.2,11.88,15.3,78.4,2/12/19,1
30,HFD+LXN,28.2,11.02,10.9,55.8,2/12/19,1
31,HFD+LXN,29.7,9.19,19.8,101.4,2/12/19,1
32,HFD+LXN,27.3,8.33,14.5,74.3,2/12/19,1
33,HFD+LXN,32.3,11.38,10.1,51.7,2/12/19,1
34,HFD+LXN,27.6,4.15,17.7,90.7,2/12/19,1
35,HFD+LXN,27.4,7.87,14.3,73.2,2/12/19,1
36,HFD+LXN,23.8,0.85,16.7,85.5,2/12/19,1
37,HFD+HXN,27.7,-0.36,11.5,58.9,2/12/19,1
38,HFD+HXN,25,5.04,12,61.5,2/12/19,1
39,HFD+HXN,26.7,7.66,18.6,95.3,2/12/19,1
40,HFD+HXN,26.8,6.77,11.9,61,2/12/19,1
41,HFD+HXN,26,3.59,16.6,85,2/12/19,1
42,HFD+HXN,31.5,17.54,13.5,69.1,2/12/19,1
43,HFD+HXN,26.6,5.98,16.4,84,2/12/19,1
44,HFD+HXN,25.8,4.45,18.9,96.8,2/12/19,1
45,HFD+HXN,27.9,9.84,13.7,70.2,2/12/19,1
46,HFD+HXN,25.6,8.02,13.6,69.7,2/12/19,1
47,HFD+HXN,29.6,8.42,18.1,92.7,2/12/19,1
48,HFD+HXN,24.8,4.64,17.4,89.1,2/12/19,1
49,HFD+TXN,27.2,4.62,13.9,71.2,2/12/19,1
51,HFD+TXN,25.7,2.8,17.9,91.7,2/12/19,1
52,HFD+TXN,25.5,4.08,16.9,86.6,2/12/19,1
53,HFD+TXN,28.1,6.04,15.5,79.4,2/12/19,1
54,HFD+TXN,22,0.46,10.7,54.8,2/12/19,1
55,HFD+TXN,25.8,7.95,18.4,94.2,2/12/19,1
56,HFD+TXN,27.8,1.09,19.2,98.3,2/12/19,1
57,HFD+TXN,28,4.48,26,133.2,2/12/19,1
58,HFD+TXN,25.5,1.59,24.5,125.5,2/12/19,1
59,HFD+TXN,25.5,-2.3,31.4,160.8,2/12/19,1
60,HFD+TXN,26.3,0.77,29,148.5,2/12/19,1
1,LFD,28.9,7.04,19.7,69.9,2/19/19,2
2,LFD,27.1,-3.21,15.5,55,2/19/19,2
3,LFD,24.5,6.06,18.4,65.2,2/19/19,2
4,LFD,27.9,7.72,25.6,90.8,2/19/19,2
5,LFD,25.5,-0.78,20.4,72.3,2/19/19,2
6,LFD,27.6,4.94,22.5,79.8,2/19/19,2
7,LFD,27.6,7.81,21.4,75.9,2/19/19,2
8,LFD,28.7,10.38,28.4,100.7,2/19/19,2
9,LFD,27.5,4.96,22.3,79.1,2/19/19,2
10,LFD,23.8,0.42,18.2,64.5,2/19/19,2
11,LFD,27,5.06,20.8,73.8,2/19/19,2
12,LFD,28.2,8.88,21.9,77.7,2/19/19,2
13,HFD,26.9,10.7,18.3,93.7,2/19/19,2
14,HFD,29.9,25.63,23,117.8,2/19/19,2
15,HFD,29.7,16.93,18.7,95.8,2/19/19,2
16,HFD,31.8,15.64,22,112.7,2/19/19,2
17,HFD,29,18.37,18.4,94.2,2/19/19,2
18,HFD,28.2,11.02,17.7,90.7,2/19/19,2
19,HFD,28,7.28,19,97.3,2/19/19,2
20,HFD,30.9,17.94,21.9,112.2,2/19/19,2
21,HFD,32.7,25.77,21,107.6,2/19/19,2
22,HFD,28.7,12.11,18.2,93.2,2/19/19,2
23,HFD,25.9,7.02,19.4,99.4,2/19/19,2
24,HFD,29.2,14.51,19.6,100.4,2/19/19,2
25,HFD+LXN,29.5,7.66,20.2,103.5,2/19/19,2
26,HFD+LXN,29.5,13.03,20.2,103.5,2/19/19,2
27,HFD+LXN,30.2,17.05,23.7,121.4,2/19/19,2
28,HFD+LXN,32.1,22.99,24,122.9,2/19/19,2
29,HFD+LXN,30.8,18.01,20.9,107,2/19/19,2
30,HFD+LXN,30,18.11,20.8,106.5,2/19/19,2
31,HFD+LXN,31.8,16.91,25.3,129.6,2/19/19,2
32,HFD+LXN,29.3,16.27,20.6,105.5,2/19/19,2
33,HFD+LXN,34.8,20,24,122.9,2/19/19,2
34,HFD+LXN,29.2,10.19,20.9,107,2/19/19,2
35,HFD+LXN,28.4,11.81,21.1,108.1,2/19/19,2
36,HFD+LXN,24.9,5.51,20.7,106,2/19/19,2
37,HFD+HXN,28,0.72,17.4,89.1,2/19/19,2
38,HFD+HXN,25.8,8.4,19.2,98.3,2/19/19,2
